Exp,Group (from pres),Group Code,Code,"abundant', 'common', 'few', 'rare'",Definition,,"Extracted from heterogeneous ""group abundance""-related Field at collection level",,
317,(diatoms),B,B,Barren,barren,barren,,,
317,(nannos),B,B,Barren,barren,barren,,,
317,(planktic foram),A,A,Abundant,abundant (>20%ะ50% of the washed sample),abundant,,,
317,(planktic foram),C,C,Common,common (>5%ะ20% of the washed sample),common,,,
317,(planktic foram),D,D,Abundant,dominant (>50% of the washed sample),abundant,,,
317,(planktic foram),F,F,Few,few (1%ะ5% of the washed sample),few,,,
317,(planktic foram),R,R,Rare,rare (<1% of the washed sample),rare,,,
317,Preservation (benthic foram),A,A,Abundant,abundant (>20%ะ50% of the washed sample),abundant,,,
317,Preservation (benthic foram),C,C,Common,common (>5%ะ20% of the washed sample),common,,,
317,Preservation (benthic foram),D,D,Abundant,dominant (>50% of the washed sample),abundant,,,
317,Preservation (benthic foram),F,F,Few,few (1%ะ5% of the washed sample),few,,,
317,Preservation (benthic foram),G,,,,,Likely preservation not abundance,,
317,Preservation (benthic foram),M,,,,,Likely preservation not abundance,,
317,Preservation (benthic foram),R,R,Rare,rare (<1% of the washed sample),rare,,,
317,Preservation (diatoms),C,C,Common,common (1ะ10 valves per field of view),common,,,
317,Preservation (diatoms),F,F,Few,few (ณ1 valve per 10 fields of view and <1 valve per field of view),few,,,
317,Preservation (diatoms),M,,,,,Unclear if this is preservation or count. Mass is used in some diatom abundances to be >60% diatoms. Clearly M-G and P-M are preservation states,,
317,Preservation (diatoms),P,P,Rare,"undefined, suggest present (<3 valves per traverse of coverslip, including fragments)",rare,,,
317,Preservation (diatoms),R,R,Rare,rare (ณ3 valves per traverse of coverslip and <1 valve per 10 fields of view),rare,,,
317,Preservation (diatoms),X,P,Rare,"present (<3 valves per traverse of coverslip, including fragments)",rare,,,
317,Preservation (nannos),A,A,Abundant,abundant (>50%ะ90% of sediment particles),abundant,,,
317,Preservation (nannos),C,C,Common,common (>10%ะ50% of sediment particles),common,,,
317,Preservation (nannos),F,F,Few,few (1%ะ10% of sediment particles),few,,,
317,Preservation (nannos),M,,,,,Likely preservation not abundance,,
317,Preservation (nannos),R,R,Rare,rare (<1% of sediment particles),rare,,,
317,Preservation (nannos),VA,VA,Abundant,very abundant; >90% of sediment particles,abundant,,,
317,Preservation (nannos),VR,VR,Rare,"undefined, suggest very rare (<0.1% of sediment particles)",rare,,,
